Time,Hand_WristRoot.x,Hand_WristRoot.y,Hand_WristRoot.z,ForearmStub.x,ForearmStub.y,ForearmStub.z,Thumb0.x,Thumb0.y,Thumb0.z,Thumb1.x,Thumb1.y,Thumb1.z,Thumb2.x,Thumb2.y,Thumb2.z,Thumb3.x,Thumb3.y,Thumb3.z,ThumbTip.x,ThumbTip.y,ThumbTip.z,Index1.x,Index1.y,Index1.z,Index2.x,Index2.y,Index2.z,Index3.x,Index3.y,Index3.z,IndexTip.x,IndexTip.y,IndexTip.z,Middle1.x,Middle1.y,Middle1.z,Middle2.x,Middle2.y,Middle2.z,Middle3.x,Middle3.y,Middle3.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,Ring1.x,Ring1.y,Ring1.z,Ring2.x,Ring2.y,Ring2.z,Ring3.x,Ring3.y,Ring3.z,RingTip.x,RingTip.y,RingTip.z,Pinky0.x,Pinky0.y,Pinky0.z,Pinky1.x,Pinky1.y,Pinky1.z,Pinky2.x,Pinky2.y,Pinky2.z,Pinky3.x,Pinky3.y,Pinky3.z,PinkyTip.x,PinkyTip.y,PinkyTip.z
4.394098,-0.1503404,0.7905198,0.1285728,-0.1503404,0.7905198,0.1285728,-0.1300692,0.8006318,0.1429289,-0.1095126,0.8131962,0.1532629,-0.08193044,0.8225083,0.1713928,-0.05941127,0.8258805,0.1988181,-0.04060241,0.8282892,0.2165644,-0.10948,0.8394708,0.2114244,-0.08857293,0.8437861,0.2452595,-0.06740732,0.8382597,0.2586269,-0.04754968,0.8301942,0.2685442,-0.1234682,0.8227496,0.22038,-0.1040729,0.8251689,0.2612248,-0.07986665,0.8175439,0.2753811,-0.05663456,0.8090572,0.2845055,-0.1298182,0.8017697,0.2212656,-0.1135496,0.8026064,0.2590366,-0.0907314,0.7975802,0.2745211,-0.06698315,0.7925958,0.2830391,-0.1431029,0.7772605,0.1704162,-0.1334785,0.7793233,0.2175529,-0.1220241,0.7782367,0.2478462,-0.1047103,0.7740942,0.2597668,-0.08323169,0.7719079,0.2681534
4.394098,-0.1580391,0.7705513,0.1209923,-0.1580391,0.7705513,0.1209923,-0.1396167,0.7805285,0.1377359,-0.1206045,0.7929761,0.1508058,-0.09536633,0.80203,0.1721891,-0.07622906,0.8033528,0.2022331,-0.06012751,0.8037356,0.2226072,-0.1270018,0.8154348,0.2101682,-0.1090904,0.8181692,0.2458367,-0.08871796,0.8124527,0.2603108,-0.06927554,0.8043975,0.271027,-0.1408694,0.797544,0.2167318,-0.1253402,0.7980514,0.2592632,-0.1011719,0.7898405,0.2731542,-0.07755201,0.7810649,0.2809066,-0.1462254,0.7762959,0.2156873,-0.1333818,0.7752458,0.2547507,-0.110073,0.769557,0.2692435,-0.08576003,0.7645556,0.27597,-0.1538144,0.7547792,0.1623742,-0.1484333,0.754019,0.21022,-0.1388685,0.7513342,0.2410643,-0.1217914,0.7471789,0.2533172,-0.1003762,0.7454729,0.2619733
4.414098,-0.1675692,0.7529474,0.1129721,-0.1675692,0.7529474,0.1129721,-0.1511419,0.7625088,0.131893,-0.1338226,0.7744209,0.1475574,-0.1112489,0.7827337,0.1720013,-0.09580752,0.7813615,0.2040998,-0.0828554,0.7789729,0.2264838,-0.1464454,0.792865,0.2072618,-0.1315176,0.7938315,0.2443666,-0.1119622,0.7878321,0.2598199,-0.09296474,0.7797341,0.2712764,-0.1599641,0.7740079,0.2114001,-0.1483925,0.7723643,0.2551462,-0.1236645,0.7635142,0.2675835,-0.09917393,0.7547241,0.271821,-0.1642013,0.7526777,0.2085141,-0.1547814,0.7495434,0.2484323,-0.1309931,0.7436015,0.2620157,-0.1061547,0.7391164,0.266947,-0.1661673,0.7345668,0.1534598,-0.1648778,0.7307553,0.2014449,-0.1571462,0.7264637,0.2326197,-0.1402437,0.722364,0.2451308,-0.1188269,0.7212697,0.2538812
4.439084,-0.1675132,0.7321793,0.1155586,-0.1675132,0.7321793,0.1155586,-0.1511857,0.7408686,0.1349798,-0.1336896,0.7511464,0.1515774,-0.1114232,0.7572175,0.1769453,-0.09702876,0.7536123,0.2093557,-0.08496013,0.7494514,0.231973,-0.1470294,0.7690662,0.2112139,-0.1327055,0.7685114,0.2485644,-0.113539,0.7615867,0.2641177,-0.09480239,0.7526285,0.2753614,-0.1610073,0.7504001,0.2146299,-0.1500035,0.7472384,0.2584391,-0.1256463,0.7375061,0.2709489,-0.101366,0.7280768,0.2750187,-0.1656491,0.7292522,0.2110973,-0.1566778,0.7247998,0.2509935,-0.1332292,0.7179818,0.2647549,-0.1085553,0.7128282,0.2698558,-0.1671351,0.7126841,0.1555443,-0.1666785,0.7075488,0.2034209,-0.1585189,0.7024127,0.2343581,-0.1415397,0.6977426,0.2465616,-0.1200587,0.6960765,0.2550609
4.465624,-0.1692789,0.6893283,0.1252793,-0.1692789,0.6893283,0.1252793,-0.1527452,0.694627,0.1457203,-0.1348021,0.7016284,0.1635039,-0.112982,0.7034196,0.189902,-0.1001714,0.6958673,0.2222977,-0.08944546,0.6886889,0.244835,-0.1480416,0.7158435,0.2241534,-0.1355724,0.7099746,0.2617116,-0.1180396,0.6995827,0.2772621,-0.1008875,0.6876307,0.2882479,-0.1639566,0.6985255,0.2256612,-0.1549816,0.6907881,0.2693638,-0.1342721,0.6783979,0.2855527,-0.1122621,0.6663668,0.2936656,-0.170632,0.6783441,0.2202382,-0.1639471,0.6701174,0.2599831,-0.1453668,0.6604009,0.2785858,-0.1234544,0.6521394,0.2892148,-0.1721177,0.6666662,0.1634556,-0.1736466,0.657576,0.2107186,-0.1677842,0.6501328,0.2417073,-0.1539203,0.6428564,0.2563317,-0.1346998,0.6379368,0.2682823
4.488214,-0.1716384,0.6666642,0.1288594,-0.1716384,0.6666642,0.1288594,-0.1546556,0.6696909,0.1493948,-0.136109,0.6751825,0.1670893,-0.1139816,0.6751125,0.1932915,-0.101372,0.6661919,0.225417,-0.09090691,0.6579555,0.2477139,-0.1478833,0.6877221,0.2284708,-0.1387539,0.6817464,0.2669609,-0.1235058,0.6703647,0.2841412,-0.1084277,0.6573361,0.2968155,-0.1653597,0.6719407,0.2294685,-0.1612126,0.6646954,0.2739728,-0.1445483,0.6513913,0.2937159,-0.1258743,0.6378613,0.3064919,-0.1739157,0.6526721,0.2234042,-0.1722385,0.6448575,0.2637544,-0.1573041,0.6338572,0.28477,-0.1379657,0.6236338,0.2982937,-0.1765602,0.6431007,0.1662707,-0.1788871,0.6326123,0.2132104,-0.1768277,0.6245917,0.2445392,-0.1653349,0.6157531,0.2603134,-0.1480479,0.6086103,0.273973
4.510264,-0.1737653,0.6487174,0.1313114,-0.1737653,0.6487174,0.1313114,-0.1565652,0.6494958,0.1518742,-0.1375158,0.6539923,0.1693135,-0.1150319,0.652738,0.1951801,-0.1023223,0.6429959,0.2270264,-0.09186387,0.63413,0.2490837,-0.1481258,0.6642057,0.2314757,-0.1413802,0.6579148,0.2704046,-0.1283124,0.6456916,0.2887633,-0.1153031,0.6317441,0.3026901,-0.1669738,0.650066,0.2320164,-0.1661195,0.6431777,0.2767618,-0.1528867,0.6292024,0.2985349,-0.1376525,0.6147007,0.3144293,-0.1772624,0.6318727,0.2253524,-0.1789845,0.6244932,0.2657825,-0.1670187,0.6124665,0.2880957,-0.1500435,0.6005774,0.303323,-0.1808043,0.6244788,0.1679448,-0.1840562,0.6127005,0.2145221,-0.1848059,0.6043586,0.2458258,-0.1753558,0.5942316,0.2621711,-0.1598717,0.5851557,0.2768106
4.530987,-0.1755028,0.6296086,0.1306221,-0.1755028,0.6296086,0.1306221,-0.1580988,0.6282121,0.1509796,-0.1384608,0.6324575,0.1678187,-0.1151683,0.6308895,0.1929421,-0.1015283,0.6208115,0.2242951,-0.09045076,0.6116928,0.2459433,-0.1477397,0.6391002,0.230968,-0.1425442,0.6326242,0.2701038,-0.1318899,0.6204919,0.2900162,-0.1219022,0.6070935,0.3067033,-0.1676563,0.6265009,0.2312115,-0.1688913,0.6196648,0.2759561,-0.1588368,0.6055587,0.2992887,-0.1470698,0.5908228,0.3177114,-0.1794363,0.6094599,0.2239937,-0.1823431,0.6013368,0.2642129,-0.1723975,0.5881567,0.2868639,-0.1577628,0.574896,0.3033369,-0.1841127,0.6046063,0.1663966,-0.1878516,0.5913264,0.2125315,-0.189994,0.579617,0.2426706,-0.1817652,0.5669636,0.2578761,-0.1674955,0.5550385,0.2716824
4.546702,-0.1772426,0.6132349,0.1303183,-0.1772426,0.6132349,0.1303183,-0.1598209,0.6097063,0.1504009,-0.1396634,0.6131974,0.1667934,-0.1157945,0.6106684,0.1912897,-0.1016411,0.5997138,0.2221167,-0.09027009,0.5899445,0.2433245,-0.1479266,0.6166847,0.2306121,-0.1436276,0.6101285,0.2698431,-0.1347508,0.5981022,0.2906705,-0.1270828,0.5853274,0.3089937,-0.1687673,0.6056784,0.2306204,-0.1716094,0.5988508,0.275293,-0.1642392,0.5847186,0.2995921,-0.155465,0.5699734,0.3196071,-0.1819118,0.5898975,0.2229102,-0.1859726,0.5811668,0.2629014,-0.177978,0.5670354,0.2857507,-0.1657496,0.5527214,0.3032709,-0.1874681,0.5876307,0.1652314,-0.1918257,0.5729281,0.2108779,-0.1955878,0.5589724,0.2398805,-0.1887624,0.5444474,0.2540744,-0.1760184,0.5302527,0.2672102
4.563217,-0.1789715,0.598539,0.1302372,-0.1789715,0.598539,0.1302372,-0.1617047,0.5929499,0.149983,-0.1410996,0.5955095,0.1659862,-0.1167961,0.5917919,0.1898965,-0.102336,0.5797646,0.2201765,-0.09082646,0.5692068,0.2409267,-0.1486539,0.5959983,0.2302599,-0.1445552,0.5897393,0.2695609,-0.1368758,0.5780764,0.2910601,-0.130865,0.5662014,0.3105687,-0.1702719,0.5866117,0.2300946,-0.1745153,0.579943,0.2746799,-0.1695942,0.5660546,0.2997274,-0.1635386,0.551614,0.3209361,-0.1846437,0.572173,0.221956,-0.19016,0.5627859,0.261623,-0.1843159,0.54782,0.2845919,-0.1745713,0.5326085,0.3028958,-0.1908308,0.572495,0.1642979,-0.1959205,0.5564668,0.2094193,-0.2013467,0.5408427,0.2372853,-0.1959891,0.5248351,0.2504793,-0.1848885,0.5087484,0.2629068
